"customer_state","avg_delivery_days"
"RR","29.3414634146341463"
"AP","27.1791044776119403"
"AM","26.3586206896551724"
"AL","24.5012594458438287"
"PA","23.7251585623678647"
"MA","21.5118549511854951"
"SE","21.4626865671641791"
"CE","21.2001563721657545"
"AC","21.0000000000000000"
"PB","20.3887814313346228"
"PI","19.3949579831932773"
"RO","19.2839506172839506"
"BA","19.2785626535626536"
"RN","19.2236286919831224"
"PE","18.3954802259887006"
"MT","18.0033860045146727"
"TO","17.5985401459854015"
"ES","15.7238095238095238"
"MS","15.5449358059914408"
"GO","15.5360245273377619"
"RS","15.2485029940119760"
"RJ","15.2376750586901967"
"SC","14.9075274880180434"
"DF","12.8990384615384615"
"MG","11.9465433729634522"
"PR","11.9380459069672964"
"SP","8.7005309297444129"
